Index,CTE,p_error,d_error,i_error,steering_output
1289,-0.0158,-0.00316,0.0246,0.066967,0.088407
1290,-0.009,-0.0018,0.0136,0.066958,0.078758
1291,-0.0119,-0.00238,-0.0058,0.0669461,0.0587661
1292,-0.0267,-0.00534,-0.0296,0.0669194,0.0319794
1293,-0.043,-0.0086,-0.0326,0.0668764,0.0256764
1294,-0.075,-0.015,-0.064,0.0668014,-0.0121986
1295,-0.1378,-0.02756,-0.1256,0.0666636,-0.0864964
1296,-0.2131,-0.04262,-0.1506,0.0664505,-0.126769
1297,-0.2632,-0.05264,-0.1002,0.0661873,-0.0866527
1298,-0.3324,-0.06648,-0.1384,0.0658549,-0.139025
1299,-0.3926,-0.07852,-0.1204,0.0654623,-0.133458
1300,-0.4258,-0.08516,-0.0664,0.0650365,-0.0865235
1301,-0.462,-0.0924,-0.0724,0.0645745,-0.100226
1302,-0.4772,-0.09544,-0.0304,0.0640973,-0.0617427
1303,-0.4859,-0.09718,-0.0174,0.0636114,-0.0509686
1304,-0.478,-0.0956,0.0158,0.0631334,-0.0166666
1305,-0.4641,-0.09282,0.0278,0.0626693,-0.0023507
1306,-0.432,-0.0864,0.0642,0.0622373,0.0400373
1307,-0.3766,-0.07532,0.1108,0.0618607,0.0973407
1308,-0.297,-0.0594,0.1592,0.0615637,0.161364
1309,-0.1757,-0.03514,0.2426,0.061388,0.268848
1310,-0.0586,-0.01172,0.2342,0.0613294,0.283809
1311,0.0115,0.0023,0.1402,0.0613409,0.203841
1312,0.0969,0.01938,0.1708,0.0614378,0.251618
1313,0.158,0.0316,0.1222,0.0615958,0.215396
1314,0.1835,0.0367,0.051,0.0617793,0.149479
1315,0.1972,0.03944,0.0274,0.0619765,0.128817
1316,0.1907,0.03814,-0.013,0.0621672,0.0873072
1317,0.1594,0.03188,-0.0626,0.0623266,0.0316066
1318,0.1252,0.02504,-0.0684,0.0624518,0.0190918
1319,0.0584,0.01168,-0.1336,0.0625102,-0.0594098
1320,0.005,0.001,-0.1068,0.0625152,-0.0432848
1321,-0.0819,-0.01638,-0.1738,0.0624333,-0.127747
1322,-0.1739,-0.03478,-0.184,0.0622594,-0.156521
1323,-0.2346,-0.04692,-0.1214,0.0620248,-0.106295
1324,-0.3178,-0.06356,-0.1664,0.061707,-0.168253
1325,-0.3901,-0.07802,-0.1446,0.0613169,-0.161303
1326,-0.4299,-0.08598,-0.0796,0.060887,-0.104693
1327,-0.4732,-0.09464,-0.0866,0.0604138,-0.120826
1328,-0.4894,-0.09788,-0.0324,0.0599244,-0.0703556
1329,-0.473,-0.0946,0.0328,0.0594514,-0.0023486
1330,-0.4338,-0.08676,0.0784,0.0590176,0.0506576
1331,-0.3559,-0.07118,0.1558,0.0586617,0.143282
